order_id,user_id,customer_order_number,order_dow,order_hour_of_day,days_since_prior_order
2539329,1,1,2,8,
2398795,1,2,3,7,15.0
473747,1,3,3,12,21.0
2254736,1,4,4,7,29.0
431534,1,5,4,15,28.0
3367565,1,6,2,7,19.0
550135,1,7,1,9,20.0
3108588,1,8,1,14,14.0
2295261,1,9,1,16,0.0
2550362,1,10,4,8,30.0
1187899,1,11,4,8,14.0
2168274,2,1,2,11,
1501582,2,2,5,10,10.0
1901567,2,3,1,10,3.0
738281,2,4,2,10,8.0
1673511,2,5,3,11,8.0
1199898,2,6,2,9,13.0
3194192,2,7,2,12,14.0
788338,2,8,1,15,27.0
1718559,2,9,2,9,8.0
1447487,2,10,1,11,6.0
1402090,2,11,1,10,30.0
3186735,2,12,1,9,28.0
3268552,2,13,4,11,30.0
839880,2,14,3,10,13.0
1492625,2,15,1,11,30.0
1374495,3,1,1,14,
444309,3,2,3,19,9.0
3002854,3,3,3,16,21.0
2037211,3,4,2,18,20.0
2710558,3,5,0,17,12.0
1972919,3,6,0,16,7.0
1839752,3,7,0,15,7.0
3225766,3,8,0,17,7.0
3160850,3,9,0,16,7.0
676467,3,10,3,16,17.0
521107,3,11,0,18,11.0
1402502,3,12,1,15,15.0
2774568,3,13,5,15,11.0
3343014,4,1,6,11,
2030307,4,2,4,11,19.0
691089,4,3,4,15,21.0
94891,4,4,5,13,15.0
2557754,4,5,5,13,0.0
329954,4,6,3,12,30.0
2717275,5,1,3,12,
1909121,5,2,0,16,11.0
2267326,5,3,3,18,10.0
157374,5,4,1,18,19.0
2196797,5,5,0,11,6.0
2086598,6,1,5,18,
298250,6,2,4,16,6.0
998866,6,3,2,18,12.0
1528013,6,4,3,16,22.0
2565571,7,1,3,9,
2402008,7,2,1,19,30.0
121053,7,3,0,18,30.0
1695742,7,4,2,10,9.0
3321109,7,5,5,18,3.0
1682003,7,6,1,18,10.0
1014379,7,7,1,15,7.0
776265,7,8,2,12,8.0
2507052,7,9,6,7,4.0
1396119,7,10,1,20,9.0
565870,7,11,0,15,6.0
3239072,7,12,0,14,7.0
1175028,7,13,5,15,5.0
3060817,7,14,1,13,17.0
3120740,7,15,3,16,2.0
2425840,7,16,0,13,11.0
23391,7,17,0,10,28.0
2984707,7,18,0,9,7.0
369015,7,19,3,12,3.0
2452257,7,20,3,9,7.0
525192,7,21,2,11,6.0
600894,8,1,6,0,
2979257,8,2,1,8,30.0
2570360,8,3,5,0,30.0
880375,8,4,1,14,10.0
280530,9,1,1,17,
2762092,9,2,0,14,6.0
1830137,9,3,5,12,30.0
1094988,9,4,6,10,30.0
1224907,10,1,2,14,
68288,10,2,5,15,30.0
2115522,10,3,3,19,12.0
83395,10,4,3,15,14.0
1353310,10,5,5,20,23.0
1822501,10,6,0,19,30.0
